regency_city,avg_years_schooling,grdp_per_capita,poverty_rate,population_density,hc_cluster
Cilacap,7.4,67077,10.68,872,2
Banyumas,7.91,40151,11.95,1328,2
Purbalingga,7.36,32147,14.18,1288,2
Banjarnegara,6.87,27640,14.71,924,2
Kebumen,7.87,27288,15.71,1060,2
Purworejo,8.65,31195,10.87,735,2
Wonosobo,6.9,27190,15.28,910,2
Magelang,7.83,32604,10.83,187,2
Boyolali,8.17,41691,9.63,1003,2
Klaten,9.29,42736,12.04,1851,2
Sukoharjo,10.01,53085,7.47,1908,2
Wonogiri,7.68,37720,10.71,553,2
Karanganyar,9.26,53364,9.59,1198,2
Sragen,7.88,52185,12.41,1010,2
Grobogan,7.29,24998,11.43,744,2
Blora,7.26,36599,11.42,464,2
Rembang,7.73,38775,14.02,641,2
Pati,7.82,43051,9.17,872,2
Kudus,9.35,145600,7.23,1974,1
Jepara,8.27,32902,6.09,1208,2
Demak,8.28,28300,11.89,1281,2
Semarang,8.16,60182,6.96,1069,2
Temanggung,7.53,35494,8.67,942,2
Kendal,7.74,55256,9.35,1056,2
Batang,7.08,36256,8.73,978,2
Pekalongan,7.48,29660,8.95,1141,2
Pemalang,6.56,22631,14.92,1355,2
Tegal,7.36,28494,6.81,1702,2
Brebes,6.41,30039,15.6,1185,2
Kota Magelang,11.43,96560,5.94,6596,1
Kota Surakarta,11.25,122300,8.31,11302,1
Kota Salatiga,11.48,89826,4.57,3661,1
Kota Semarang,11.05,156570,4.03,4618,1
Kota Pekalongan,9.34,45989,6.71,6950,1
Kota Tegal,9.28,72279,7.64,7316,1
